12/06/2025
Rosalyan = mu=67.328, sigma=3.195
Elite = mu=58.698, sigma=1.191
Vakaeltraz = mu=56.042, sigma=0.983
J_sk8 = mu=55.099, sigma=1.054
Lu_K = mu=53.568, sigma=1.518
Melwin = mu=51.664, sigma=1.144
Clem = mu=50.484, sigma=1.067
JeanCube = mu=51.949, sigma=2.084
Oleas = mu=56.247, sigma=4.235
Thaumas = mu=51.464, sigma=2.719
Daytona_69 = mu=47.395, sigma=1.733
Ether-Zero = mu=52.986, sigma=4.335
Rayou = mu=54.347, sigma=5.406
Tomwilson = mu=49.867, sigma=4.522
Brook1l = mu=43.498, sigma=2.413
Hardox = mu=40.936, sigma=2.108
Kemoory = mu=40.491, sigma=2.254
Camou = mu=42.971, sigma=3.181
Fozlo = mu=37.814, sigma=2.073
