Elite = mu=62.031, sigma=1.736
Clem = mu=48.827, sigma=1.362
Tomwilson = mu=49.867, sigma=4.522
Vakaeltraz = mu=57.447, sigma=1.331
Thaumas = mu=49.086, sigma=2.445
Brook1l = mu=43.382, sigma=2.539
Hardox = mu=40.364, sigma=2.290
Melwin = mu=53.420, sigma=1.487
J_sk8 = mu=53.595, sigma=1.284
Kemoory = mu=41.514, sigma=2.534
Daudy = mu=36.974, sigma=2.306
Daytona_69 = mu=46.485, sigma=2.056
BuffROBair = mu=50.000, sigma=8.333
EtherZero = mu=52.856, sigma=4.335
JeanCube = mu=45.816, sigma=3.812
Lu_K = mu=54.843, sigma=4.272
Camou = mu=50.053, sigma=4.679
Oleas = mu=48.031, sigma=3.437
