Elite = mu=62.031, sigma=1.736
Clem = mu=48.891, sigma=1.401
Tomwilson = mu=49.867, sigma=4.522
Vakaeltraz = mu=57.933, sigma=1.372
Thaumas = mu=49.086, sigma=2.445
Brook1l = mu=43.382, sigma=2.539
Hardox = mu=40.364, sigma=2.290
Melwin = mu=53.420, sigma=1.487
J_sk8 = mu=53.370, sigma=1.318
Kemoory = mu=41.514, sigma=2.534
Daudy = mu=34.849, sigma=2.505
Daytona_69 = mu=46.485, sigma=2.056
BuffROBair = mu=50.000, sigma=8.333
EtherZero = mu=52.856, sigma=4.335
JeanCube = mu=45.816, sigma=3.812
Lu_K = mu=44.126, sigma=6.185
Camou = mu=50.053, sigma=4.679
Oleas = mu=56.247, sigma=4.235
